"id_dtienda","nombre","monto","anio","mes","semana","dia"
2,"Amaretto",50.28,2021,6,24,7
1,"Bagel - Whole White Sesame",295.68,2021,6,24,7
2,"Beets - Golden",31.24,2021,6,24,7
1,"Bread - Multigrain Oval",43.68,2021,6,24,7
2,"Chocolate Liqueur - Godet White",66.84,2021,6,24,7
2,"Hipnotiq Liquor",289.92,2021,6,24,7
1,"Nantucket - Pomegranate Pear",166.80,2021,6,24,7
1,"Sambuca - Ramazzotti",57.96,2021,6,24,7
2,"Shark - Loin",4706.80,2021,6,24,7
2,"Shark - Loin",19626.70,2021,6,25,1
2,"Shark - Loin",6240.20,2021,6,25,2
2,"Shark - Loin",8917.50,2021,6,25,3
2,"Shark - Loin",8417.30,2021,6,25,4
2,"Shark - Loin",5526.80,2021,6,25,5
2,"Shark - Loin",14341.80,2021,6,25,6
2,"Shark - Loin",4087.70,2021,6,25,7
2,"Shark - Loin",98.40,2021,6,26,2
2,"Soup - Campbells Beef Stew",39.32,2021,6,24,7
1,"Wine - Red, Concha Y Toro",4.96,2021,6,24,7
